Variable,VIF
const,30.056540028527778
White_prop,3.4765553176898387
Native_American_prop,1.0986350522683561
Asian_prop,2.0329767357908892
OtherRaces_prop,2.619529350811853
GI,4.149072494481282
MR,4.450123962393515
MHV,4.645627748634426
PD,3.159379273838237
PR,4.989106225513399
CHR,3.027447107427123
ED,2.829961193939744
GVI,2.9940101649198363
BH,2.430701294153387
FAR,2.173048234542991
Enclosure,5.384360986919081
